County ID,County Name,Precinct Code,Precinct Name,School District Code,School District Name,Number of Registered Voters,,,,,,,,,
2,Anoka,1420,COON RAPIDS W-5 P-4,11,ANOKA-HENNEPIN,1079,,,,,,,,,
2,Anoka,1425,COON RAPIDS W-5 P-5,11,ANOKA-HENNEPIN,1560,,,,,,,,,
2,Anoka,1505,EAST BETHEL P-1,15,ST. FRANCIS AREA,2768,,,,,,,,,
2,Anoka,1510,EAST BETHEL P-2,15,ST. FRANCIS AREA,2718,,,,,,,,,
2,Anoka,1515,EAST BETHEL P-3,15,ST. FRANCIS AREA,1420,,,,,,,,,
2,Anoka,1515,EAST BETHEL P-3,831,FOREST LAKE,1052,,,,,,,,,
2,Anoka,1605,FRIDLEY W-1 P-1,14,FRIDLEY,326,,,,,,,,,
2,Anoka,1605,FRIDLEY W-1 P-1,16,SPRING LAKE PARK,1144,,,,,,,,,
2,Anoka,1610,FRIDLEY W-1 P-2,14,FRIDLEY,1347,,,,,,,,,
2,Anoka,1615,FRIDLEY W-1 P-3,14,FRIDLEY,1836,,,,,,,,,
2,Anoka,1620,FRIDLEY W-1 P-4,13,COLUMBIA HEIGHTS,675,,,,,,,,,
2,Anoka,1620,FRIDLEY W-1 P-4,14,FRIDLEY,630,,,,,,,,,
2,Anoka,1705,FRIDLEY W-2 P-1,16,SPRING LAKE PARK,1235,,,,,,,,,
2,Anoka,1710,FRIDLEY W-2 P-2,14,FRIDLEY,1127,,,,,,,,,
2,Anoka,1715,FRIDLEY W-2 P-3,13,COLUMBIA HEIGHTS,163,,,,,,,,,
2,Anoka,1715,FRIDLEY W-2 P-3,14,FRIDLEY,1448,,,,,,,,,
2,Anoka,1720,FRIDLEY W-2 P-4,13,COLUMBIA HEIGHTS,1572,,,,,,,,,
2,Anoka,1720,FRIDLEY W-2 P-4,14,FRIDLEY,71,,,,,,,,,
2,Anoka,1805,FRIDLEY W-3 P-1,11,ANOKA-HENNEPIN,961,,,,,,,,,
2,Anoka,1805,FRIDLEY W-3 P-1,14,FRIDLEY,7,,,,,,,,,
2,Anoka,1805,FRIDLEY W-3 P-1,16,SPRING LAKE PARK,462,,,,,,,,,
2,Anoka,1810,FRIDLEY W-3 P-2,14,FRIDLEY,1758,,,,,,,,,
2,Anoka,1815,FRIDLEY W-3 P-3,14,FRIDLEY,1118,,,,,,,,,
2,Anoka,1820,FRIDLEY W-3 P-4,13,COLUMBIA HEIGHTS,822,,,,,,,,,
